Estacion ,tmaxF,tminF,evaF,precF,tmaxJ,tminJ,evaJ,precJ,tmaxO,tminO,evaO,precO
Aguascalientes,24.133,6.2573,174.83,9.4,29.494,15.52,238.21,90.897,25.935,11.379,171.72,34.201
Alamitos,20.683,2.888,115.06,22.335,25.25,9.676,151.87,134.21,21.936,6.7424,108.63,53.321
San Bartolo,24.544,4.2025,150.25,9.46,29.625,13.125,199.81,92.768,26.205,9.2821,144.28,35.253
Calvillo,25.601,4.24,141,10.54,31.499,14.402,210.81,94.844,27.979,10.308,135.65,34.577
La Codorniz,24.565,6.5446,161.68,11.761,29.376,14.783,211.22,91.693,26.084,11.082,144.59,39.357
Cañada Honda,24.652,2.3001,121.43,10.346,29.333,12.655,190.33,82.792,26.255,8.0623,126.19,33.026
Los Conos,24.22,3.3089,126.63,11.476,28.424,12.903,205.46,82.814,25.384,8.8825,131.58,32.976
Cosio,22.587,4.6284,150.66,10.535,28.078,12.663,205.9,68.719,24.453,9.2705,148.18,31.855
Jocoque,23.923,5.1664,138.19,7.9389,28.654,13.885,202.54,76.157,25.413,9.8843,126.4,33.925
Media Luna,27.22,3.1936,130.51,9.8102,32.27,15.214,221.23,109.66,29.207,10.329,132.87,36.248
Niagara,25.683,3.6347,143.82,11.725,30.826,14.208,205.4,89.484,27.039,10.047,127.68,38.803
El Novillo,23.972,3.511,132.05,11.274,29.344,12.043,196.87,87.461,25.482,8.5083,138.06,34.61
Palo alto,24.255,3.7148,127.61,13.219,29.141,13.269,183.27,91.507,25.817,8.9788,139.74,35.8
Pabellon de Arteaga,25.24,5.6567,143.31,12.123,30.256,15.119,196.1,76.496,26.92,10.565,128.57,35.856
Presa Calles,23.398,5.1099,147.23,7.9569,28.435,13.726,200.19,86.71,25.214,9.6595,127.32,35.048
Puerto de la Concepcion,22.513,6.0006,122.61,12.033,27.706,12.223,188.89,85.17,23.813,9.6802,119.84,38.409
La tinaja,20.956,3.0194,133.16,17.405,25.86,10.248,176.34,106.01,21.781,6.8067,129.78,48.55
Sandovales,23.255,2.7647,133.82,9.0978,27.869,10.476,184.88,72.685,24.505,6.8676,142.93,27.793
Villa Juarez,24.301,1.9668,145.77,8.6885,29.087,11.324,213.6,71.474,25.968,7.429,152.56,32.601
